question_id,db_id,avg_latency,min_latency,max_latency,std_latency,num_runs
stage2_0,car_1,13.021006308333503,11.519511591000082,14.622949092999988,1.5541552183993932,3
stage2_1,car_1,11.32948238300014,10.977244874999997,11.767247357000088,0.40188579344365555,3
stage2_2,car_1,11.308680067999981,10.678868711000177,11.952948795999873,0.6371630697320613,3
stage2_3,car_1,11.737251804333633,11.01493744400068,12.4908212549999,0.7384381601706428,3
stage2_4,student_transcripts_tracking,12.200141988000118,11.594700544999796,13.072608589000083,0.7742931440247551,3
stage2_5,car_1,11.864323894000336,9.96457385300073,15.03786410199973,2.7661298830326277,3
stage2_6,student_transcripts_tracking,21.99833522300014,19.9149083479997,24.08176209800058,2.946410542838219,2
stage2_7,car_1,12.114593743666168,10.433385783999256,14.194219789999806,1.911810878201586,3
stage2_8,car_1,9.401463448666618,8.846706100999654,10.181566318000478,0.6953764468504562,3
stage2_9,car_1,12.14419630333335,11.305429881000236,12.79517824300001,0.7624203594264665,3
stage2_10,car_1,10.93296701800015,10.08270499900027,12.341626591000022,1.2286323945491395,3
stage2_11,car_1,13.347387697666818,10.96347779700045,15.431767287000184,2.2491535179186752,3
stage2_12,car_1,12.83920957666669,11.8575837089993,13.979229929000212,1.0696552156141375,3
stage2_13,student_transcripts_tracking,12.2313467736667,11.409279931999663,12.805359695000334,0.7303476820731211,3
stage2_14,car_1,12.401321647000259,12.267142471000625,12.606195377999939,0.18024291530088538,3
stage2_15,car_1,7.365521609000098,7.017604118000236,7.7354755100004695,0.35944267468870644,3
stage2_16,car_1,10.874532732333137,10.28594320799948,11.255315227999745,0.5170187125843888,3
stage2_17,car_1,9.679714669666586,7.819943894000062,10.718508789000225,1.6142867202930427,3
stage2_18,car_1,8.127368360666575,7.104795223999645,9.983342853000067,1.6101016979762912,3
stage2_19,car_1,10.291665959666412,10.135276698999405,10.476939313000003,0.1726529859524853,3
